measure_id,ballot_id,state,election_date,election_type,topic,measure_name,description_short,progressive_side,yes_pct,outcome,severity_note,same_ballot_catalog_ids,same_ballot_companions,source_url
az_19981103_proposition_300,AZ_1998-11-03,AZ,1998-11-03,general,cannabis,Proposition 300,"A YES vote requires FDA or congressional authorization before doctors may prescribe Schedule I drugs including marijuana to seriously or terminally ill patients, restricting Prop 200's medical provisions.",no,42.7,fail,legislative referendum to restrict the 1996 medical program (YES was the anti-medical side; voters rejected it),,Proposition 100 — public retirement systems; Proposition 101 — elected officials salary commission; Proposition 102 — state trust fund investment; Proposition 103 — open primaries for unaffiliated voters; Proposition 104 — limits on altering voter-approved measures; Proposition 105 — Voter Protection Act (initiative alteration ban); Proposition 200 — public campaign finance system; Proposition 201 — cockfighting ban; Proposition 202 — IRS elimination pledge on ballots; Proposition 301 — probation eligibility for drug offenses; Proposition 302 — legislator salary increase; Proposition 303 — state funds for open space; Proposition 304 — state lottery extension,"https://ballotpedia.org/Arizona_Proposition_300,_Medical_Use_of_Schedule_I_Drugs_Referendum_(1998)"
co_19981103_amendment_11,CO_1998-11-03,CO,1998-11-03,general,abortion,Amendment 11,A YES vote prohibits 'partial-birth' abortion in Colorado and imposes criminal and civil penalties on providers.,no,48.5,fail,procedure ban (partial-birth abortion) only,co_19981103_amendment_12,"Amendment 12 (parental notification for abortion); Amendment 13 (uniform livestock regulations); Amendment 14 (commercial hog facility regulations); Amendment 15 (water well meters); Amendment 16 (aquifer water fees, state trust lands); Amendment 17 (school tax credit for parents); Amendment 18 (candidate term-limit pledge declarations); Referendum A (local government public-private partnerships); Referendum B (retain excess revenue for transportation/education); Referendum C (create city and county of Broomfield)","https://ballotpedia.org/Colorado_Amendment_11,_Prohibition_on_Partial-Birth_Abortions_Initiative_(1998)"
co_19981103_amendment_12,CO_1998-11-03,CO,1998-11-03,general,abortion,Amendment 12,A YES vote requires that a parent be notified before a minor receives an abortion.,no,54.9,pass,parental notification only,co_19981103_amendment_11,"Amendment 11 (partial-birth abortion ban); Amendment 13 (uniform livestock regulations); Amendment 14 (commercial hog facility regulations); Amendment 15 (water well meters); Amendment 16 (aquifer water fees, state trust lands); Amendment 17 (school tax credit for parents); Amendment 18 (candidate term-limit pledge declarations); Referendum A (local government public-private partnerships); Referendum B (retain excess revenue for transportation/education); Referendum C (create city and county of Broomfield)","https://ballotpedia.org/Colorado_Amendment_12,_Parental_Notification_for_Abortions_Initiative_(1998)"
hi_19981103_question_2,HI_1998-11-03,HI,1998-11-03,general,marriage,Question 2,A YES vote amends the Hawaii Constitution to give the state legislature the power to reserve marriage to opposite-sex couples.,no,70.8,pass,constitutional; empowers legislature to restrict marriage (does not itself ban),,Constitutional Convention Question — whether to call a constitutional convention; Question 1 — tax review commission appointment interval (5 to 10 years),"https://ballotpedia.org/Hawaii_Question_2,_Legislative_Power_to_Reserve_Marriage_to_Opposite-Sex_Couples_Amendment_(1998)"
nv_19981103_question_9,NV_1998-11-03,NV,1998-11-03,general,cannabis,Question 9,A YES vote amends the state constitution to allow medical use of marijuana for certain illnesses with physician approval and authorizes regulated supply methods (first of two required passages).,yes,58.7,pass,"medical only; constitutional amendment, 1st of 2 required passes",,Question 1 — conflicting voter-approved laws resolution; Question 2 — judicial discipline commission revision; Question 3 — district court locations; Question 4 — Nevada Day advisory question; Question 5 — legislative session length limit; Question 6 — water conservation property tax exemption; Question 7 — government property resale tax; Question 8 — senate president provision; Question 17 — congressional term limits,"https://ballotpedia.org/Nevada_Question_9,_Medical_Marijuana_Initiative_(1998)"
or_19981103_measure_67,OR_1998-11-03,OR,1998-11-03,general,cannabis,Measure 67,A YES vote allows medical use of marijuana with a physician's recommendation for patients with qualifying conditions and establishes a regulated registry system.,yes,54.6,pass,medical only,or_19981103_measure_57,Measure 54 — school district bond guarantee; Measure 55 — tuition trust fund guarantee; Measure 56 — land-use change notices; Measure 57 — marijuana recriminalization referendum; Measure 58 — adoptee birth certificates; Measure 59 — ban public resources for political funds; Measure 60 — vote by mail; Measure 62 — campaign finance and signature-gathering rules; Measure 63 — supermajority vote requirements; Measure 64 — timber harvest restrictions; Measure 65 — legislative review of administrative rules; Measure 66 — lottery funds for parks and conservation,"https://ballotpedia.org/Oregon_Measure_67,_Medical_Marijuana_and_Regulation_Initiative_(1998)"
or_19981103_measure_57,OR_1998-11-03,OR,1998-11-03,general,cannabis,Measure 57,"A YES vote approves the legislature's law reclassifying possession of less than one ounce of marijuana as a Class C misdemeanor, recriminalizing conduct that had been a violation.",no,33.5,fail,"veto referendum to recriminalize marijuana possession (YES was the anti-cannabis side; voters rejected it, preserving decriminalization)",or_19981103_measure_67,Measure 54 — school district bond guarantee; Measure 55 — tuition trust fund guarantee; Measure 56 — land-use change notices; Measure 58 — adoptee birth certificates; Measure 59 — ban public resources for political funds; Measure 60 — vote by mail; Measure 62 — campaign finance and signature-gathering rules; Measure 63 — supermajority vote requirements; Measure 64 — timber harvest restrictions; Measure 65 — legislative review of administrative rules; Measure 66 — lottery funds for parks and conservation; Measure 67 — medical marijuana,"https://ballotpedia.org/Oregon_Measure_57,_Marijuana_Possession_as_a_Class_C_Misdemeanor_Referendum_(1998)"
wa_19981103_initiative_694,WA_1998-11-03,WA,1998-11-03,general,abortion,Initiative 694,A YES vote prohibits 'partial-birth' abortion (intact dilation and extraction) in Washington.,no,42.9,fail,procedure ban (partial-birth abortion) only,wa_19981103_initiative_692; wa_19981103_initiative_688,Initiative 200 (ban affirmative action preferences); Initiative 688 (minimum wage increase); Initiative 692 (medical marijuana); Referendum 49 (vehicle excise tax cut + highway bonds),"https://ballotpedia.org/Washington_Initiative_694,_%22Partial-Birth_Abortion_Ban_Act%22_Measure_(1998)"
wa_19981103_initiative_692,WA_1998-11-03,WA,1998-11-03,general,cannabis,Initiative 692,A YES vote permits physicians to authorize medical marijuana for patients with certain terminal or debilitating conditions.,yes,59.0,pass,medical only,wa_19981103_initiative_694; wa_19981103_initiative_688,Initiative 200 — affirmative action ban; Initiative 688 — minimum wage increase; Initiative 694 — partial-birth abortion ban; Referendum 49 — vehicle excise tax cut and transportation bonds,"https://ballotpedia.org/Washington_Initiative_692,_Medical_Marijuana_Measure_(1998)"
wa_19981103_initiative_688,WA_1998-11-03,WA,1998-11-03,general,labor,Initiative 688,"Raises Washington's minimum wage from $4.90 to $5.70 in 1999 and $6.50 in 2000, with automatic annual inflation adjustment thereafter.",yes,66.1,pass,$6.50 by 2000 + annual inflation indexing (first-in-nation automatic indexing),wa_19981103_initiative_694; wa_19981103_initiative_692,Initiative 200 - ban preferential treatment by race or sex; Initiative 692 - medical marijuana; Initiative 694 - ban partial-birth abortion; Referendum 49 - vehicle excise tax cut and $1.9B highway bonds,"https://ballotpedia.org/Washington_Initiative_688,_Minimum_Wage_Measure_(1998)"
me_19991102_question_1,ME_1999-11-02,ME,1999-11-02,odd-year general,abortion,Question 1,A YES vote bans 'partial-birth' abortion in Maine except when necessary to save the mother's life.,no,44.4,fail,procedure ban (partial-birth abortion) only,me_19991102_question_2,"Question 2 (medical marijuana); Question 3 (transportation bonds); Question 4 (water pollution control bonds); Question 5 (digital broadcasting bonds); Question 6 (technical college bonds); Question 7 (public lands conservation bonds); Question 8 (people's veto election timing); Question 9 (property tax, historic preservation)","https://ballotpedia.org/Maine_Question_1,_%E2%80%9CPartial-Birth_Abortion_Ban_Act%E2%80%9D_Initiative_(1999)"
me_19991102_question_2,ME_1999-11-02,ME,1999-11-02,odd-year general,cannabis,Question 2,A YES vote permits patients with specific illnesses to cultivate and use small quantities of marijuana for medical treatment approved by a doctor.,yes,61.4,pass,medical only,me_19991102_question_1,Question 1 — partial-birth abortion ban; Question 3 — transportation bonds; Question 4 — water pollution cleanup bonds; Question 5 — public broadcasting digital conversion bonds; Question 6 — technical college bonds; Question 7 — public lands acquisition bonds; Question 8 — people's veto election timing; Question 9 — historic property tax exemption,"https://ballotpedia.org/Maine_Medical_Marijuana_for_Specific_Illnesses,_Question_2_(1999)"
ca_20000307_proposition_22,CA_2000-03-07,CA,2000-03-07,primary,marriage,Proposition 22,A YES vote adds to the California Family Code that only marriage between a man and a woman is valid or recognized in California.,no,61.4,pass,statutory (initiated state statute); bans marriage only,,Proposition 1A — tribal gaming compacts; Proposition 12 — water/parks/open-space bonds ($2.1B); Proposition 13 — water infrastructure bonds ($1.97B); Proposition 14 — library construction bonds ($350M); Proposition 15 — forensic laboratory bonds ($220M); Proposition 16 — veterans' homes bonds ($50M); Proposition 17 — charitable nonprofit raffles; Proposition 18 — 'lying in wait' murder special circumstance; Proposition 19 — sentences for murder of BART/CSU police; Proposition 20 — lottery funds for school instructional materials; Proposition 21 — juvenile crime penalties; Proposition 23 — 'none of the above' ballot option; Proposition 25 — campaign finance limits; Proposition 26 — simple majority for local school bonds; Proposition 27 — congressional term-limit declarations; Proposition 28 — repeal Prop 10 cigarette taxes; Proposition 29 — referendum on Pala tribal gaming compacts; Proposition 30 — referendum on right to sue insurers; Proposition 31 — referendum on limits to third-party claimant lawsuits,"https://ballotpedia.org/California_Proposition_22,_Definition_of_Marriage_Initiative_(March_2000)"
ak_20001107_measure_5,AK_2000-11-07,AK,2000-11-07,general,cannabis,Measure 5,A YES vote removes civil and criminal penalties for use of marijuana and other hemp products by persons 18 years or older.,yes,40.9,fail,full recreational (removes all penalties for adults 18+),,Measure 1 — prohibit ballot initiatives on hunting; Measure 2 — single-subject rule for amendments; Measure 3 — permanent fund public corporation; Measure 4 — property tax cap; Measure 6 — repeal land-and-shoot wolf hunting law,"https://ballotpedia.org/Alaska_Measure_5,_Marijuana_Decriminalization_Initiative_(2000)"
co_20001107_amendment_25,CO_2000-11-07,CO,2000-11-07,general,abortion,Amendment 25,"A YES vote requires physicians to give women seeking an abortion state-specified information, a 24-hour waiting period, and written consent.",no,39.4,fail,waiting period + informed consent only,co_20001107_amendment_20,Amendment 20 (medical marijuana); Amendment 21 (annual $25 tax cut); Amendment 22 (gun show background checks); Amendment 23 (K-12 education funding); Amendment 24 (voter approval of growth); Referendum A (senior homestead property tax exemption); Referendum B (redistricting timetable); Referendum C (county surveyor offices); Referendum D (remove obsolete constitutional provisions); Referendum E (multi-state lotteries); Referendum F (excess revenue for math/science grants),"https://ballotpedia.org/Colorado_Amendment_25,_Informed_Consent_for_Abortion_Initiative_(2000)"
co_20001107_amendment_20,CO_2000-11-07,CO,2000-11-07,general,cannabis,Amendment 20,A YES vote allows patients with serious or chronic medical conditions to use marijuana and establishes a state registry of people permitted to possess medical marijuana.,yes,53.5,pass,medical only,co_20001107_amendment_25,Amendment 21 — $25 annual tax cut; Amendment 22 — gun show background checks; Amendment 23 — education funding; Amendment 24 — voter approval for city expansion; Amendment 25 — informed consent for abortion; Referendum A — senior property tax exemption; Referendum B — redistricting timetable; Referendum C — county surveyor selection; Referendum D — remove obsolete constitutional provisions; Referendum E — multi-state lotteries; Referendum F — science and math grants,"https://ballotpedia.org/Colorado_Amendment_20,_Medical_Usage_of_Marijuana_Initiative_(2000)"
ma_20001107_question_5,MA_2000-11-07,MA,2000-11-07,general,healthcare,Question 5,"Creates a state Healthcare Council charged with enacting comprehensive health coverage for all Massachusetts residents by July 2002 and imposes a moratorium on for-profit hospital, HMO, and insurer conversions.",yes,48.1,fail,universal coverage mandate (healthcare council) + HMO regulation,,Question 1 — redistricting/census amendment; Question 2 — bar incarcerated felons from voting; Question 3 — dog racing ban; Question 4 — income tax rate cut; Question 6 — toll and auto excise tax credit; Question 7 — charitable contribution deduction; Question 8 — drug treatment and asset forfeiture reform,"https://ballotpedia.org/Massachusetts_Question_5,_Healthcare_Council_Initiative_(2000)"
ne_20001107_initiative_416,NE_2000-11-07,NE,2000-11-07,general,marriage,Initiative 416,"A YES vote amends the Nebraska Constitution to provide that only marriage between a man and a woman is valid or recognized in Nebraska and that same-sex civil unions, domestic partnerships, and similar relationships are not valid or recognized.",no,70.1,pass,constitutional; bans marriage + civil unions/domestic partnerships,,Amendment 1 — method of nominating/electing lieutenant governor; Amendment 2 — gender-neutral constitutional language; Amendment 3A — require two votes to amend constitution; Amendment 3B — initiative and referendum powers language; Amendment 3C — initiative petition filing requirements; Amendment 4 — timing of judicial compensation changes; Amendment 5 — legislators elected to other offices must resign; Measure 415 — state legislative term limits,"https://ballotpedia.org/Nebraska_Marriage_Definition,_Measure_416_(2000)"
nv_20001107_question_2,NV_2000-11-07,NV,2000-11-07,general,marriage,Question 2,A YES vote approves (first of two required votes) amending the Nevada Constitution to provide that only a marriage between a male and female person shall be recognized and given effect in the state.,no,69.6,pass,"constitutional (initiated amendment, first of two required votes); bans marriage only",nv_20001107_question_9,Question 1 — authorize state investment in private companies; Question 9 — medical marijuana,"https://ballotpedia.org/Nevada_Question_2,_Definition_of_Marriage_Amendment_(2000)"
nv_20001107_question_9,NV_2000-11-07,NV,2000-11-07,general,cannabis,Question 9,A YES vote gives second and final approval to the constitutional amendment legalizing medical marijuana for qualifying patients with a doctor's recommendation.,yes,65.4,pass,"medical only; constitutional amendment, 2nd of 2 required passes — enacted",nv_20001107_question_2,Question 1 — state investment for economic development; Question 2 — definition of marriage,"https://ballotpedia.org/Nevada_Question_9,_Medical_Marijuana_Initiative_(2000)"
ok_20010925_state_question_695,OK_2001-09-25,OK,2001-09-25,special,labor,State Question 695,"Adds a right-to-work section to the Oklahoma Constitution banning employment contracts that require union membership, dues, or other payments to a labor organization as a condition of getting or keeping a job.",no,54.2,pass,Constitutional right-to-work amendment (Article 23 Section 1A); violations a misdemeanor; only measure on a single-issue special election ballot,,,"https://ballotpedia.org/Oklahoma_State_Question_695,_Right_to_Work_Amendment_(September_2001)"
wa_20011106_initiative_773,WA_2001-11-06,WA,2001-11-06,odd-year general,healthcare,Initiative 773,"Imposes an additional 60-cents-per-pack cigarette tax plus new taxes on other tobacco products, with proceeds dedicated primarily to expanding the Basic Health Plan, Washington's subsidized health coverage for low-income residents.",yes,66.1,pass,tobacco tax funding low-income health coverage (Basic Health Plan),,Initiative 747 — property tax increase limits; Initiative 775 — home care workers authority; SJR 8208 — temporary superior court judges; HJR 4202 — state fund investment,"https://ballotpedia.org/Washington_Initiative_773,_Increase_Tobacco_Tax_for_Health_Programs_Measure_(2001)"
az_20021105_proposition_203,AZ_2002-11-05,AZ,2002-11-05,general,cannabis,Proposition 203,"A YES vote decriminalizes marijuana possession to a $250 civil fine, eliminates mandatory minimum drug sentences, and requires the state to provide marijuana free of charge to patients with a physician's recommendation.",yes,42.7,fail,decriminalization only ($250 civil fine) plus state-supplied medical marijuana,az_20021105_proposition_303,Proposition 100 — municipal debt limits; Proposition 101 — state trust land exchange; Proposition 102 — property valuation protection eligibility; Proposition 103 — expand non-bailable offenses; Proposition 104 — education expenditure limit exemption; Proposition 200 — tribal gaming compacts; Proposition 201 — slot machines and tribal gaming compacts; Proposition 202 — tribal gaming compacts; Proposition 300 — school fund earnings for classrooms; Proposition 301 — state lottery extension; Proposition 302 — incarceration for drug offenders refusing treatment; Proposition 303 — tobacco tax increase; Proposition 304 — legislator salary increase,"https://ballotpedia.org/Arizona_Proposition_203,_Decriminalization_of_Marijuana_Initiative_(2002)"
az_20021105_proposition_303,AZ_2002-11-05,AZ,2002-11-05,general,healthcare,Proposition 303,"Raises the cigarette tax by 60 cents to $1.18 per pack (with increases on cigars and other tobacco products), depositing revenue in an AHCCCS-administered Tobacco Products Tax Fund for Medicaid coverage of the Proposition 204 expansion population, the medically needy, and other healthcare programs.",yes,67.0,pass,tobacco tax funding Medicaid/AHCCCS healthcare programs,az_20021105_proposition_203,Proposition 100 — municipal infrastructure debt limit; Proposition 101 — state land exchanges; Proposition 102 — senior property valuation protection; Proposition 103 — non-bailable offenses; Proposition 104 — school expenditure limit exemption; Proposition 200 — tribal gaming compacts; Proposition 201 — racetrack slot machines; Proposition 202 — tribal gaming compacts; Proposition 203 — marijuana decriminalization; Proposition 300 — classroom site fund; Proposition 301 — state lottery extension; Proposition 302 — drug possession sentencing; Proposition 304 — legislative salaries,https://ballotpedia.org/Arizona_Proposition_303_(2002)
mi_20021105_proposal_02_3,MI_2002-11-05,MI,2002-11-05,general,labor,Proposal 02-3,"Amends Michigan's constitution to grant state classified employees the right to collective bargaining with binding arbitration over wages, hours, pensions, and conditions of employment.",yes,45.6,fail,Constitutional right to collective bargaining with binding arbitration 30 days after bargaining begins; defeated 46-54,,Proposal 02-1 - eliminate straight party ticket voting (veto referendum); Proposal 02-2 - $1 billion water quality bonds; Proposal 02-4 - allocation of tobacco settlement revenue,"https://ballotpedia.org/Michigan_Proposal_02-3,_Collective_Bargaining_for_State_Employees_Initiative_(2002)"
mo_20021105_amendment_2,MO_2002-11-05,MO,2002-11-05,general,labor,Amendment 2,"Amends Missouri's constitution to allow firefighters, ambulance personnel, and emergency dispatchers to organize and bargain collectively with enforceable contracts, while prohibiting strikes.",yes,48.8,fail,"Constitutional collective bargaining rights with binding arbitration for fire/EMS/dispatch only, no strike right; narrowly defeated 48.8-51.2",mo_20021105_proposition_a,Amendment 1 - St. Louis city charter reorganization authority; Amendment 3 - term limits calculation for partial terms; Amendment 4 - joint municipal utility boards and bonds; Constitutional Convention Question - whether to call a constitutional convention; Proposition A - tobacco tax for Healthy Families Trust Fund,"https://ballotpedia.org/Missouri_Amendment_2,_Collective_Bargaining_Rights_for_Emergency_Personnel_Initiative_(2002)"
mo_20021105_proposition_a,MO_2002-11-05,MO,2002-11-05,general,healthcare,Proposition A,"Raises the cigarette tax by 55 cents per pack (2.75 cents per cigarette) plus 20% on other tobacco products, funding a Healthy Families Trust Fund for hospital trauma care, healthcare access for low-income residents, prescription drug assistance for seniors, life sciences research, smoking prevention, and early childhood education.",yes,49.1,fail,tobacco tax funding healthcare and hospital trauma care,mo_20021105_amendment_2,Amendment 1 — St. Louis charter reorganization; Amendment 2 — first responders collective bargaining; Amendment 3 — term limits calculation; Amendment 4 — joint municipal utility boards; Constitutional Convention Question — constitutional convention,"https://ballotpedia.org/Missouri_Tobacco_Tax,_Proposition_A_(2002)"
mt_20021105_i_146,MT_2002-11-05,MT,2002-11-05,general,healthcare,I-146,Dedicates 49% of Montana's annual tobacco settlement receipts to a statewide tobacco disease prevention program and to programs providing health insurance benefits for Montanans who could not otherwise afford or acquire coverage.,yes,65.0,pass,tobacco settlement allocation funding health insurance programs,,C-36 — local government self-insurance investments; C-37 — initiative signature requirements (amendments); C-38 — initiative signature requirements (statutes); C-39 — pension fund stock investments; I-145 — public power commission for hydroelectric dams; IR-117 — electrical energy law referendum,https://ballotpedia.org/Montana_I-146_(2002)
nv_20021105_question_2,NV_2002-11-05,NV,2002-11-05,general,marriage,Question 2,"A YES vote approves (second, final required vote, enacting the amendment) that only a marriage between a male and female person shall be recognized and given effect in Nevada.",no,67.2,pass,"constitutional (initiated amendment, second/final vote — took effect); bans marriage only",nv_20021105_question_9,Question 1 — $200M conservation bonds; Question 3 — farm machinery sales-tax exemption; Question 4 — professional racing equipment tax exemption; Question 5 — repeal rule against perpetuities; Question 6 — appointed judges' term of office; Question 7 — school construction debt-limit exemption; Question 8 — property tax reduction for economic hardship; Question 9 — marijuana legalization (up to 3 oz),"https://ballotpedia.org/Nevada_Question_2,_Definition_of_Marriage_Initiative_(2002)"
